Rank,Players,Total_FPTS,Average_FPTS
84,Jauan JenningsSFWR,209.6,12.3
85,Cam SkatteboNYGRB,155.2,9.1
86,Deebo Samuel Sr.WshWR,201.6,11.9
87,Khalil ShakirBufWR,206.6,12.2
88,Bo NixDenQB,300.4,17.7
89,Mark AndrewsBalTE,170.9,10.1
90,Tyrone Tracy Jr.NYGRB,197.1,11.6
91,Stefon DiggsNEWR,165.6,11.8
92,Chris GodwinTBWR,190.8,14.7
93,Baker MayfieldTBQB,309.1,18.2
94,Jakobi MeyersLVWR,215.2,12.7
95,Austin EkelerWshRB,172.2,10.1
96,Keon ColemanBufWR,191.2,11.2
97,Brian Robinson Jr.WshRB,200.6,11.8
98,Ricky PearsallSFWR,192.8,11.3
99,Evan EngramDenTE,168.6,9.9
100,Travis Etienne Jr.JaxRB,155.3,9.1
101,Michael Pittman Jr.IndWR,183.1,10.8
102,Zach CharbonnetSeaRB,112.9,6.6
103,Kyler MurrayAriQB,306.3,18.0
104,Jayden ReedGBWR,181.1,10.7
105,Tyjae SpearsTenRB,148.0,8.7
106,Brock PurdySFQB,306.9,18.1
107,Darnell MooneyAtlWR,170.5,10.0
108,Rachaad WhiteTBRB,129.5,7.6
109,Tank BigsbyJaxRB,130.4,7.7
110,Caleb WilliamsChiQB,279.3,16.4
111,Jayden HigginsHouWR,166.1,9.8
112,Jonnu SmithPitTE,135.0,7.9
113,Najee HarrisLACRB,118.1,6.9
114,Bhayshul TutenJaxRB,63.7,3.7
115,Colston LovelandChiTE,155.3,9.1
116,Jack BechLVWR,148.6,8.7
117,Rashid ShaheedNOWR,183.7,10.8
118,Emeka EgbukaTBWR,142.8,8.4
119,Jaydon BlueDalRB,79.4,4.7
120,Jordan MasonMinRB,118.7,7.0
121,Justin HerbertLACQB,284.0,16.7
122,Tyler AllgeierAtlRB,97.3,5.7
123,Isaac GuerendoSFRB,87.0,5.1
124,Hollywood BrownKCWR,147.4,8.7
125,Justin FieldsNYJQB,296.7,17.5
126,Xavier LegetteCarWR,154.6,9.1
127,Adam ThielenCarWR,166.9,9.8
128,Trey BensonAriRB,113.4,6.7
129,Ray DavisBufRB,81.0,4.8
130,Dalton KincaidBufTE,147.2,8.7
131,Roschon JohnsonChiRB,103.6,6.1
132,TexansHouDST,133.0,7.8
133,BroncosDenDST,123.0,7.2
134,Tyler WarrenIndTE,145.7,8.6
135,Marvin Mims Jr.DenWR,149.2,8.8
136,Tucker KraftGBTE,160.5,9.4
137,Luther Burden IIIChiWR,116.2,6.8
138,Brandon AiyukSFWR,84.5,9.4
139,SteelersPitDST,131.6,7.7
140,Jake BatesDetK,144.9,8.5
141,Brandon AubreyDalK,142.0,8.4
142,Tre HarrisLACWR,146.8,8.6
143,LionsDetDST,122.8,7.2
144,PatriotsNEDST,116.5,6.9
145,Kyle WilliamsNEWR,127.9,7.5
146,Drake MayeNEQB,273.8,16.1
147,Josh DownsIndWR,163.7,9.6
148,VikingsMinDST,121.5,7.1
149,Dak PrescottDalQB,284.3,16.7
150,RavensBalDST,119.2,7.0
151,Cedric TillmanCleWR,163.1,9.6
152,Cameron DickerLACK,143.4,8.4
153,Chase McLaughlinTBK,146.0,8.6
154,Dallas GoedertPhiTE,156.7,9.2
155,Kareem HuntKCRB,108.3,6.4
156,SeahawksSeaDST,119.4,7.0
157,Blake CorumLARRB,52.4,3.1
158,EaglesPhiDST,97.3,5.7
159,Tyler BassBufK,141.1,8.3
160,CardinalsAriDST,98.5,5.8
161,Wan'Dale RobinsonNYGWR,152.0,8.9
162,Jake ElliottPhiK,141.0,8.3
163,Jason SandersMiaK,140.5,8.3
164,Rashod BatemanBalWR,133.6,7.9
165,Christian KirkHouWR,110.5,6.5
166,Tyler LoopBalK,139.9,8.2
167,JetsNYJDST,96.0,5.6
168,MarShawn LloydGBRB,86.7,5.1
169,Woody MarksHouRB,36.4,2.1
170,Pat FreiermuthPitTE,133.8,7.9
171,Chris BoswellPitK,138.3,8.1
172,J.J. McCarthyMinQB,281.8,16.6
173,C.J. StroudHouQB,272.0,16.0
174,Jordan LoveGBQB,261.5,15.4
175,Pat BryantDenWR,95.6,5.6
176,Jaleel McLaughlinDenRB,15.6,0.9
177,BillsBufDST,104.9,6.2
178,Ka'imi FairbairnHouK,137.0,8.1
179,Jalen McMillanTBWR,98.3,5.8
180,Joshua KartyLARK,137.2,8.1
181,49ersSFDST,72.6,4.3
182,Braelon AllenNYJRB,83.8,4.9
183,Anthony Richardson Sr.IndQB,180.7,18.1
