Rank,Total_FPTS,Average_FPTS,Player,Team,Position
115,155.3,9.1,Colston Loveland,CHI,TE
116,148.6,8.7,Jack Bech,LV,WR
117,183.7,10.8,Rashid Shaheed,NO,WR
118,142.8,8.4,Emeka Egbuka,TB,WR
119,79.4,4.7,Jaydon Blue,DAL,RB
120,118.7,7.0,Jordan Mason,MIN,RB
121,284.0,16.7,Justin Herbert,LAC,QB
122,97.3,5.7,Tyler Allgeier,ATL,RB
123,87.0,5.1,Isaac Guerendo,SF,RB
124,147.4,8.7,Hollywood Brown,KC,WR
125,296.7,17.5,Justin Fields,NYJ,QB
126,154.6,9.1,Xavier Legette,CAR,WR
127,166.9,9.8,Adam Thielen,CAR,WR
128,113.4,6.7,Trey Benson,ARI,RB
129,81.0,4.8,Ray Davis,BUF,RB
130,147.2,8.7,Dalton Kincaid,BUF,TE
131,103.6,6.1,Roschon Johnson,CHI,RB
132,133.0,7.8,Texans,HOU,DST
133,123.0,7.2,Broncos,DEN,DST
134,145.7,8.6,Tyler Warren,IND,TE
135,149.2,8.8,Marvin Mims Jr.,DEN,WR
136,160.5,9.4,Tucker Kraft,GB,TE
137,116.2,6.8,Luther Burden III,CHI,WR
138,84.5,9.4,Brandon Aiyuk,SF,WR
139,131.6,7.7,Steelers,PIT,DST
140,144.9,8.5,Jake Bates,DET,K
141,142.0,8.4,Brandon Aubrey,DAL,K
142,146.8,8.6,Tre Harris,LAC,WR
143,122.8,7.2,Lions,DET,DST
144,116.5,6.9,Patriots,NE,DST
145,127.9,7.5,Kyle Williams,NE,WR
146,273.8,16.1,Drake Maye,NE,QB
147,163.7,9.6,Josh Downs,IND,WR
148,121.5,7.1,Vikings,MIN,DST
149,284.3,16.7,Dak Prescott,DAL,QB
150,119.2,7.0,Ravens,BAL,DST
151,163.1,9.6,Cedric Tillman,CLE,WR
152,143.4,8.4,Cameron Dicker,LAC,K
153,146.0,8.6,Chase McLaughlin,TB,K
154,156.7,9.2,Dallas Goedert,PHI,TE
155,108.3,6.4,Kareem Hunt,KC,RB
156,119.4,7.0,Seahawks,SEA,DST
157,52.4,3.1,Blake Corum,LAR,RB
158,97.3,5.7,Eagles,PHI,DST
159,141.1,8.3,Tyler Bass,BUF,K
160,98.5,5.8,Cardinals,ARI,DST
161,152.0,8.9,Wan'Dale Robinson,NYG,WR
162,141.0,8.3,Jake Elliott,PHI,K
163,140.5,8.3,Jason Sanders,MIA,K
164,133.6,7.9,Rashod Bateman,BAL,WR
165,110.5,6.5,Christian Kirk,HOU,WR
166,139.9,8.2,Tyler Loop,BAL,K
167,96.0,5.6,Jets,NYJ,DST
168,86.7,5.1,MarShawn Lloyd,GB,RB
169,36.4,2.1,Woody Marks,HOU,RB
170,133.8,7.9,Pat Freiermuth,PIT,TE
171,138.3,8.1,Chris Boswell,PIT,K
172,281.8,16.6,J.J. McCarthy,MIN,QB
173,272.0,16.0,C.J. Stroud,HOU,QB
174,261.5,15.4,Jordan Love,GB,QB
175,95.6,5.6,Pat Bryant,DEN,WR
